,Angle,Concentration,Poluted
0,0.28000731514153304,0.10930432536925301,0
1,0.30624255542585826,0.06120750698862635,0
2,0.1860735425340147,0.12439707889265227,0
3,0.3395148554354524,0.13691260335818847,0
4,0.19852134301264615,0.032704217492437584,0
5,0.11103903871423584,0.09146310665885247,0
6,-0.6673671328896691,0.14919224160913427,0
7,-0.26351591448716183,0.0428300294692498,0
8,0.17019273749869435,0.1958366467180072,0
9,-0.4254744760659702,0.14693231888089084,0
10,0.2047872517928402,0.09289018796348067,0
11,0.1590614660911773,0.053030399228651756,0
12,0.19360891547957804,0.04950726247406694,0
13,-0.16643392297054801,0.1607966188234098,0
14,1.0211088012885328,0.06495702833458304,1
15,0.3858461669762726,0.03001359150734893,0
16,-0.9429780131866987,0.017029484898790807,0
17,0.3373766539651707,0.04392541228366188,0
18,-0.09304559812342068,0.06490836840259771,0
19,0.04492671768559971,0.010055776627835245,0
20,-0.744435792991589,0.08991980883649386,0
21,-0.8631571120713537,0.0736671066299121,0
22,-0.6374729291118459,0.1001071944227576,0
23,-0.5115665516709774,0.13396877770389898,0
24,-0.1317736209990643,0.11264092109634766,0
25,-0.7405974062558832,0.04063868151534169,0
26,-0.5080871411693696,0.030253646418338595,0
27,-0.07372293041689769,0.2083477602329647,0
28,-0.5936783521224813,0.008894472303105245,0
29,0.49940726965298143,0.12565023973466968,0
30,-0.7685028568480078,0.08355580473574233,0
31,-0.9411904721057224,0.020567647329754187,0
32,0.20928639661511242,0.017778316666633504,0
33,0.1294046558784,0.04952190783373943,0
34,0.15755263976731673,0.04691207789517271,0
35,0.00012014469600479744,0.10852039781437783,0
36,-0.17456884250643426,0.19863906153780098,0
37,0.24029156430726004,0.0802886933907306,0
38,-0.4932682752898401,0.10846397284842102,0
39,-0.0817983873261244,0.015891546455157276,0
40,0.1473878239407482,0.052517773969913625,0
41,1.1966966227833422,0.00223468552998507,0
42,0.38241483335021426,0.0923882029592072,0
43,0.3834959803767606,0.13974496792196867,0
44,0.6672507886433269,0.4260251223601523,1
45,-0.012904437583948629,0.08486645810972696,0
46,-0.11725846185792883,0.17617858747771592,0
47,0.5914527006143897,0.34555279028822306,1
48,-0.5830449902078999,0.1330637217563024,0
49,0.5565740091129883,0.2361270114229946,1
50,-0.7098751118410815,0.16908198830167487,0
51,-0.9215533026256834,0.01530191219159578,0
52,-1.4138681418368018,0.12814773694082024,0
53,-0.2599769953543915,0.15256564455881433,0
54,-0.05496346856648356,0.014516649222179335,0
55,-0.5991344476602588,0.09158601396343855,0
56,-0.8226576257314774,0.026999450997990976,0
57,0.6867991005179526,0.23205823475297346,1
58,-0.13973590865054775,0.0035763089954998295,0
59,-0.20109839739276966,0.13927127022169375,0
60,0.2781357698193519,0.05135296481487059,0
61,0.5407374592847498,0.43214825344941105,1
62,0.4858659608880911,0.2587529327627145,0
63,0.07235284650315565,0.08856027856621262,0
64,0.06838152843527404,0.0738717216333347,0
65,-0.5270963276601033,0.0009711452555868463,0
66,-0.1743206929578628,0.03651728872825524,0
67,-0.676981488232597,0.0009893938159069133,0
68,-0.24515496671218986,0.058111695527537595,0
69,-0.7039377111189445,0.07872455955907216,0
70,-0.21406964923076097,0.06202964996360401,0
71,-0.24271493322302334,0.1640825063914385,0
72,-1.1089536556497477,0.021716011587592576,0
73,-0.2702874712205109,0.114311025217842,0
74,-1.3700976602661774,0.08447770254453048,0
75,-0.0942630256506347,0.030630027886182833,0
76,0.033849700246924595,0.01994135470147834,0
77,0.8442358024014783,0.23163882038272682,1
78,-0.19739344742916218,0.16356158990348751,0
